,file,y,x,ulx,uly,lrx,lry
24,100-45.tif,100,45,360027.29544458474,387762.18630646716,362527.4012670568,385262.08048749657
25,100-46.tif,100,46,360027.3599422518,390262.28400938795,362527.46208725346,387762.1818646365
26,100-47.tif,100,47,360027.38300051354,392762.3831205469,362527.48388276016,390262.28223880037
27,100-48.tif,100,48,360027.39992831537,395262.480976674,362527.4999317107,392762.3809750294
28,100-49.tif,100,49,360027.39992831537,397762.5809783185,362527.4999317107,395262.480976674
29,100-50.tif,100,50,360027.41389988025,400262.67887562216,362527.5132945322,397762.5794812204
30,100-51.tif,100,51,360027.4062754727,402762.78122256795,362527.5059424836,400262.6815565576
31,100-52.tif,100,52,360027.3925076784,405262.8838517882,362527.49283020134,402762.7835292653
32,100-53.tif,100,53,360027.3925076784,407699.0071968455,362527.49283020134,405262.8838517882
33,100-54.tif,100,54,360027.3465315104,410262.091856306,362513.45434115117,410197.115174484
34,100-55.tif,100,55,360027.31431789737,412762.1976415831,362513.42392688274,410262.0930438508
35,100-56.tif,100,56,360027.31431789737,415196.3258684836,362513.42392688274,412762.1976415832
36,100-72.tif,100,72,362511.0264768497,455262.71166082047,362527.02136005927,455181.7375645152
37,100-73.tif,100,73,360027.67766224523,457762.9149059172,362526.8869247452,455262.70595921203
38,100-74.tif,100,74,360027.67766224523,460262.1241689172,362526.8869247452,457762.9149059172
39,100-75.tif,100,75,360027.5282640997,462762.345342658,362526.7466748497,460262.1272442936
